"","Player","PTS_G","TRB_G","AST_G","STL_G","BLK_G","X3P_G","PTS_100","TRB_100","AST_100","STL_100","BLK_100","X3P_100"
"72","Cody Martin",7.7,4,2.5,1.2,0.5,0.9,14,7.3,4.6,2.3,0.8,1.6
"73","Cody Zeller",5.2,4.6,0.8,0.3,0.2,0,19.3,17.2,3,1.1,0.8,0
"74","Cole Anthony",16.3,5.4,5.7,0.7,0.3,2,24.9,8.2,8.7,1.1,0.4,3.1
"75","Collin Sexton",16,3.3,2.1,0.9,0,1,27.8,5.7,3.6,1.6,0,1.7
"76","Corey Kispert",8.2,2.7,1.1,0.5,0.3,1.5,17.4,5.7,2.3,1,0.6,3.1
"77","Cory Joseph",8,2.7,3.6,0.6,0.3,1,15.9,5.3,7.2,1.3,0.5,2
"78","D'Angelo Russell",18.1,3.3,7.1,1,0.3,2.7,26.9,4.9,10.5,1.4,0.5,4
"79","D.J. Augustin",5.33333333333333,1.23333333333333,1.9,0.3,0,1.23333333333333,15.7666666666667,3.66666666666667,5.63333333333333,0.9,0.0666666666666667,3.66666666666667
"80","Daishen Nix",3.2,1.4,1.7,0.6,0,0.3,14,6,7.3,2.7,0,1.3
"81","Dalano Banton",3.2,1.9,1.5,0.4,0.2,0.2,14.7,8.9,7.1,2,0.7,0.9
"82","Damian Jones",8.1,4.4,1.2,0.5,0.8,0.2,21.5,11.6,3.3,1.2,2.2,0.5
"83","Damian Lillard",24,4.1,7.3,0.6,0.4,3.2,32.2,5.6,9.8,0.8,0.5,4.3
"84","Damion Lee",7.4,3.2,1,0.6,0.1,1,18.1,7.9,2.4,1.5,0.2,2.4
"85","Daniel Gafford",9.4,5.7,0.9,0.4,1.4,0,23.2,13.9,2.3,1,3.4,0
"86","Daniel Theis",8.16666666666667,4.86666666666667,0.9,0.4,0.7,0.7,19.2666666666667,11.4333333333333,2.1,1,1.56666666666667,1.6
"87","Danilo Gallinari",11.7,4.7,1.5,0.4,0.2,1.7,22.7,9.1,3,0.8,0.4,3.3
"88","Danny Green",5.9,2.5,1,1,0.6,1.7,13.5,5.8,2.4,2.2,1.4,3.8
